Time;Reduced Scale Factor
0;0
0.04062772305362827;0.024564795827471203
0.08125544610725655;0.033778216016692064
0.12188316916088304;0.041857573237490904
0.16251089221451132;0.04921460768948344
0.2031386152681396;0.056054387738635116
0.24376633832176609;0.06249770982808698
0.28439406137539436;0.0686232840371895
0.32502178442902263;0.07448600319230696
0.3656495074826491;0.08012607524723209
0.4062772305362774;0.0855740674653034
0.4469049535899057;0.09085390619643641
0.48753267664353217;0.09598476571263298
0.5281603996971604;0.10098231298554897
0.5687881227507887;0.10585955915896406
0.6094158458044152;0.11062746035968501
0.6500435688580435;0.11529535293725489
0.6906712919116718;0.11987127595894048
0.7312990149652983;0.1243622148932205
0.7719267380189265;0.1287742889303875
0.8125544610725548;0.13311289717809727
0.8531821841261813;0.13738283431218057
0.8938099071798096;0.14158838317845213
0.9344376302334378;0.14573338975238256
0.9750653532870643;0.14982132442040996
1.0156930763406926;0.1538553325316172
1.0563207993943209;0.1578382764427945
1.0969485224479474;0.16177277075330762
1.1375762455015757;0.16566121203885223
1.178203968555204;0.16950580410469257
1.2188316916088304;0.17330857956164997
1.2594594146624587;0.1770714183626253
1.300087137716087;0.1807960638101951
1.3407148607697135;0.18448413644707806
1.3813425838233417;0.1881371461639862
1.42197030687697;0.19175650279840598
1.4625980299305965;0.19534352544939346
1.5032257529842248;0.19889945069467907
1.543853476037853;0.2024254398651237
1.5844811990914796;0.2059225855062302
1.6251089221451078;0.2093919171357506
1.665736645198736;0.21283440638948503
1.7063643682523626;0.2162509716333993
1.7469920913059909;0.21964248210861603
1.7876198143596191;0.22300976166620168
1.8282475374132456;0.22635359214061682
1.868875260466874;0.22967471640393453
1.9095029835205022;0.23297384113722833
1.9501307065741287;0.23625163935070495
1.990758429627757;0.23950875268005556
2.0313861526813852;0.24274579348300332
2.0720138757350117;0.2459633467570331
2.11264159878864;0.24916197189672235
2.1532693218422683;0.2523422043068807
2.1938970448958948;0.25550455688579743
2.234524767949523;0.25864952139124203
2.2751524910031513;0.26177756970042737
2.315780214056778;0.2648891549738942
2.356407937110406;0.26798471273218416
2.3970356601640344;0.27106466185321315
2.437663383217661;0.27412940549741815
2.478291106271289;0.277179331967014
2.5189188293249174;0.28021481550504646
2.559546552378544;0.28323621703935514
2.600174275432172;0.28624388487605124
2.6408019984858004;0.28923815534666497
2.681429721539427;0.2922193534127179
2.722057444593055;0.2951877932311191
2.7626851676466835;0.29814377868346664
2.80331289070031;0.3010876038720513
2.8439406137539383;0.3040195535851072
2.8845683368075665;0.30693990373362484
2.925196059861193;0.3098489217618387
2.9658237829148213;0.3127468670333171
3.0064515059684496;0.31563399119441765
3.047079229022076;0.3185105385167205
3.0877069520757043;0.32137674621991924
3.1283346751293326;0.324232844776525
3.168962398182959;0.3270790581996304
3.2095901212365874;0.32991560431487954
3.2502178442902157;0.3327426950176985
3.290845567343842;0.33556053651675916
3.3314732903974704;0.33836932956457366
3.3721010134510987;0.34116926967604716
3.412728736504725;0.3439605473357555
3.4533564595583535;0.34674334819465635
3.4939841826119817;0.3495178532568897
3.5346119056656082;0.352284239057277
3.5752396287192365;0.35504267783008275
3.615867351772865;0.35779333766956334
3.6564950748264913;0.3605363826827905
3.6971227978801195;0.3632719731352026
3.737750520933748;0.3660002655893062
3.7783782439873743;0.36872141303692046
3.8190059670410026;0.3714355650253322
3.859633690094631;0.37414286777770295
3.9002614131482574;0.37684346430804844
3.9408891362018856;0.37953749453108854
3.981516859255514;0.38222509536724747
4.02214458230914;0.3849064008430661
4.062772305362769;0.3875815421872702
4.103400028416397;0.39025064792272546
4.1440277514700234;0.39291384395449364
4.184655474523652;0.39557125365419227
4.22528319757728;0.39822299794084737
4.2659109206309065;0.4008691953584176
4.306538643684535;0.4035099621501574
4.347166366738163;0.4061454123299764
4.3877940897917895;0.4087756577509444
4.428421812845418;0.41140080817108005
4.469049535899044;0.4140209713165569
4.509677258952673;0.41663625294244955
4.550304982006301;0.4192467568911374
4.590932705059927;0.4218525851484768
4.631560428113556;0.42445383789784596
4.672188151167184;0.42705061357216123
4.71281587422081;0.4296430089039577
4.753443597274439;0.4322311189736229
4.794071320328067;0.4348150372558668
4.834699043381693;0.43739485566450714
4.875326766435322;0.43997066459564493
4.91595448948895;0.442542552969301
4.9565822125425765;0.44511060826958126
4.997209935596205;0.4476749165834337
5.037837658649833;0.45023556263805864
5.0784653817034595;0.4527926298370285
5.119093104757088;0.4553462002951729
5.159720827810716;0.45789635487228003
5.200348550864343;0.46044317320566386
5.240976273917971;0.4629867337416442
5.281603996971599;0.465527113765984
5.322231720025226;0.46806438943332646
5.362859443078854;0.47059863579567185
5.403487166132482;0.4731299268299334
5.444114889186109;0.47565833546460806
5.484742612239737;0.47818393360559747
5.525370335293365;0.48070679216121226
5.565998058346992;0.4832269810663916
5.60662578140062;0.4857445693061683
5.647253504454248;0.4882596249384078
5.687881227507875;0.49077221511585
5.728508950561503;0.4932824061074786
5.769136673615131;0.4957902633192444
